
*******************
* Started on 2010-08-18 08/03/47
* Using start frequency 1001
*******************
* time:pressure:isPlaying:aborting:frequency:maxPressure:pressureThreshold
2010-08-18 08/13/01:113:1:0:1055:117:140:
2010-08-18 08/13/03:112:1:0:1055:117:140:
2010-08-18 08/13/05:113:1:0:1055:117:140:
2010-08-18 08/13/07:114:1:0:1055:117:140:
2010-08-18 08/13/09:114:1:0:1056:116:140:
2010-08-18 08/13/11:113:1:0:1056:117:140:
2010-08-18 08/13/13:113:1:0:1056:117:140:
2010-08-18 08/13/15:114:1:0:1056:117:140:
2010-08-18 08/13/17:113:1:0:1056:117:140:
2010-08-18 08/13/19:113:1:0:1057:117:140:
2010-08-18 08/13/21:114:1:0:1057:117:140:
2010-08-18 08/13/23:114:1:0:1057:117:140:
2010-08-18 08/13/25:114:1:0:1057:117:140:
2010-08-18 08/13/27:114:1:0:1057:117:140:
2010-08-18 08/13/29:114:1:0:1058:117:140:
2010-08-18 08/13/31:114:1:0:1058:117:140:
2010-08-18 08/13/33:113:1:0:1058:117:140:
2010-08-18 08/13/36:114:1:0:1058:117:140:
2010-08-18 08/13/38:114:1:0:1058:117:140:
2010-08-18 08/13/40:114:1:0:1059:116:140:
2010-08-18 08/13/42:114:1:0:1059:117:140:
2010-08-18 08/13/44:112:1:0:1059:117:140:
2010-08-18 08/13/46:113:1:0:1059:117:140:
2010-08-18 08/13/48:114:1:0:1059:117:140:
2010-08-18 08/13/50:113:1:0:1060:117:140:
2010-08-18 08/13/52:113:1:0:1060:117:140:
2010-08-18 08/13/54:112:1:0:1060:117:140:
2010-08-18 08/13/56:114:1:0:1060:117:140:
2010-08-18 08/13/58:113:1:0:1060:117:140:
2010-08-18 08/14/00:113:1:0:1061:117:140:
2010-08-18 08/14/02:114:1:0:1061:117:140:
2010-08-18 08/14/04:113:1:0:1061:117:140:
2010-08-18 08/14/06:114:1:0:1061:117:140:
2010-08-18 08/14/08:114:1:0:1061:117:140:
2010-08-18 08/14/10:114:1:0:1062:117:140:
2010-08-18 08/14/12:114:1:0:1062:117:140:
2010-08-18 08/14/14:114:1:0:1062:117:140:
2010-08-18 08/14/16:113:1:0:1062:118:140:
2010-08-18 08/14/18:113:1:0:1062:118:140:
2010-08-18 08/14/20:114:1:0:1063:117:140:
2010-08-18 08/14/22:113:1:0:1063:117:140:
2010-08-18 08/14/24:114:1:0:1063:117:140:
2010-08-18 08/14/26:113:1:0:1063:117:140:
2010-08-18 08/14/28:114:1:0:1063:117:140:
2010-08-18 08/14/30:114:1:0:1064:119:140:
2010-08-18 08/14/32:114:1:0:1064:119:140:
2010-08-18 08/14/34:114:1:0:1064:119:140:
2010-08-18 08/14/36:114:1:0:1064:119:140:
2010-08-18 08/14/38:114:1:0:1064:119:140:
2010-08-18 08/14/40:113:1:0:1065:119:140:
2010-08-18 08/14/42:114:1:0:1065:120:140:
2010-08-18 08/14/45:114:1:0:1065:120:140:
2010-08-18 08/14/47:114:1:0:1065:120:140:
2010-08-18 08/14/49:114:1:0:1065:120:140:
2010-08-18 08/14/51:113:1:0:1066:120:140:
2010-08-18 08/14/53:113:1:0:1066:120:140:
2010-08-18 08/14/55:114:1:0:1066:120:140:
2010-08-18 08/14/57:113:1:0:1066:120:140:
2010-08-18 08/14/59:113:1:0:1066:120:140:
2010-08-18 08/15/01:113:1:0:1067:119:140:
2010-08-18 08/15/03:114:1:0:1067:119:140:
2010-08-18 08/15/05:113:1:0:1067:119:140:
2010-08-18 08/15/07:115:1:0:1067:119:140:
2010-08-18 08/15/09:113:1:0:1067:119:140:
2010-08-18 08/15/11:113:1:0:1068:119:140:
2010-08-18 08/15/13:114:1:0:1068:119:140:
2010-08-18 08/15/15:114:1:0:1068:119:140:
2010-08-18 08/15/17:113:1:0:1068:119:140:
2010-08-18 08/15/19:114:1:0:1068:119:140:
2010-08-18 08/15/21:113:1:0:1069:117:140:
2010-08-18 08/15/23:114:1:0:1069:117:140:
2010-08-18 08/15/25:113:1:0:1069:117:140:
2010-08-18 08/15/27:114:1:0:1069:117:140:
2010-08-18 08/15/29:113:1:0:1069:117:140:
2010-08-18 08/15/31:113:1:0:1070:117:140:
2010-08-18 08/15/33:114:1:0:1070:117:140:
2010-08-18 08/15/35:114:1:0:1070:117:140:
2010-08-18 08/15/37:114:1:0:1070:117:140:
2010-08-18 08/15/39:113:1:0:1070:117:140:
2010-08-18 08/15/41:113:1:0:1071:117:140:
2010-08-18 08/15/43:114:1:0:1071:117:140:
2010-08-18 08/15/45:114:1:0:1071:117:140:
2010-08-18 08/15/47:114:1:0:1071:117:140:
2010-08-18 08/15/49:113:1:0:1071:117:140:
2010-08-18 08/15/51:114:1:0:1072:117:140:
2010-08-18 08/15/53:114:1:0:1072:117:140:
2010-08-18 08/15/56:114:1:0:1072:117:140:
2010-08-18 08/15/58:114:1:0:1072:117:140:
2010-08-18 08/16/00:114:1:0:1072:118:140:
2010-08-18 08/16/02:114:1:0:1073:117:140:
2010-08-18 08/16/04:113:1:0:1073:117:140:
2010-08-18 08/16/06:114:1:0:1073:117:140:
2010-08-18 08/16/08:114:1:0:1073:117:140:
2010-08-18 08/16/10:114:1:0:1073:117:140:
2010-08-18 08/16/12:115:1:0:1074:117:140:
2010-08-18 08/16/14:114:1:0:1074:117:140:
2010-08-18 08/16/16:113:1:0:1074:117:140:
2010-08-18 08/16/18:113:1:0:1074:117:140:
2010-08-18 08/16/20:114:1:0:1074:117:140:
2010-08-18 08/16/22:113:1:0:1075:117:140:
2010-08-18 08/16/24:113:1:0:1075:117:140:
2010-08-18 08/16/26:113:1:0:1075:117:140:
2010-08-18 08/16/28:114:1:0:1075:117:140:
2010-08-18 08/16/30:114:1:0:1075:117:140:
2010-08-18 08/16/32:113:1:0:1076:116:140:
2010-08-18 08/16/34:114:1:0:1076:117:140:
2010-08-18 08/16/36:113:1:0:1076:117:140:
2010-08-18 08/16/38:114:1:0:1076:117:140:
2010-08-18 08/16/40:113:1:0:1076:117:140:
2010-08-18 08/16/42:113:1:0:1077:117:140:
2010-08-18 08/16/44:114:1:0:1077:117:140:
2010-08-18 08/16/46:113:1:0:1077:117:140:
2010-08-18 08/16/48:113:1:0:1077:117:140:
2010-08-18 08/16/50:114:1:0:1077:117:140:
2010-08-18 08/16/52:112:1:0:1078:119:140:
2010-08-18 08/16/54:114:1:0:1078:119:140:
2010-08-18 08/16/56:113:1:0:1078:119:140:
2010-08-18 08/16/58:113:1:0:1078:119:140:
2010-08-18 08/17/00:113:1:0:1078:120:140:
2010-08-18 08/17/02:113:1:0:1079:120:140:
2010-08-18 08/17/05:114:1:0:1079:120:140:
2010-08-18 08/17/07:114:1:0:1079:120:140:
2010-08-18 08/17/09:114:1:0:1079:120:140:
2010-08-18 08/17/11:112:1:0:1079:120:140:
2010-08-18 08/17/13:114:1:0:1080:119:140:
2010-08-18 08/17/15:114:1:0:1080:119:140:
2010-08-18 08/17/17:113:1:0:1080:119:140:
2010-08-18 08/17/19:113:1:0:1080:119:140:
2010-08-18 08/17/21:114:1:0:1080:119:140:
2010-08-18 08/17/23:114:1:0:1081:118:140:
2010-08-18 08/17/25:110:1:0:1081:119:140:
2010-08-18 08/17/27:113:1:0:1081:120:140:
2010-08-18 08/17/29:113:1:0:1081:120:140:
2010-08-18 08/17/31:114:1:0:1081:120:140:
2010-08-18 08/17/33:112:1:0:1082:119:140:
2010-08-18 08/17/35:113:1:0:1082:119:140:
2010-08-18 08/17/37:114:1:0:1082:120:140:
2010-08-18 08/17/39:114:1:0:1082:120:140:
2010-08-18 08/17/41:114:1:0:1082:120:140:
2010-08-18 08/17/43:114:1:0:1083:119:140:
2010-08-18 08/17/45:114:1:0:1083:119:140:
2010-08-18 08/17/47:113:1:0:1083:119:140:
2010-08-18 08/17/49:113:1:0:1083:119:140:
2010-08-18 08/17/51:112:1:0:1083:119:140:
2010-08-18 08/17/53:113:1:0:1084:119:140:
2010-08-18 08/17/55:113:1:0:1084:119:140:
