XW	YW	ZW	X70	Y70	H70	NO
4347361.895	1859472.564	4267258.908	4554708.013	8484857.385	642.061	536
4341527.594	1858212.040	4273800.391	4563485.473	8486019.595	709.990	540
4345906.711	1841105.021	4276742.305	4567532.329	8468583.360	716.515	545
4344111.978	1848736.722	4275432.827	4565630.955	8476299.316	817.267	558
4361101.106	1844754.559	4259987.249	4544783.222	8465894.429	853.447	613
4354171.943	1840526.621	4268488.672	4556479.432	8464767.453	620.689	615
4338002.434	1864411.164	4274965.114	4564865.455	8493108.650	905.689	619
4350723.118	1844094.436	4270512.303	4559151.421	8469411.887	661.392	635
4350894.314	1838989.134	4272533.289	4561905.732	8464659.604	666.720	638
4342233.173	1864987.979	4270217.244	4558587.701	8491956.303	751.766	645
4349998.832	1877450.634	4257544.053	4541088.340	8500305.196	1168.816	713
4350686.357	1841888.348	4271553.118	4560533.862	8467402.579	700.412	715
4355571.528	1855551.008	4260590.630	4545755.860	8477996.556	613.211	727
4357061.224	1861127.776	4256613.454	4540403.009	8482521.240	582.210	801
4357791.192	1859016.614	4256834.026	4540680.112	8480294.206	613.348	802
4355302.695	1867153.509	4256124.611	4539516.481	8488749.544	813.223	815
4344615.139	1844349.509	4276634.708	4567382.570	8472073.441	701.386	822
4346492.878	1859462.695	4268054.618	4555835.697	8485193.484	583.158	827
4363103.362	1860047.622	4250915.474	4532746.769	8479128.860	571.778	880
4356396.693	1856796.416	4259328.468	4543979.912	8478811.617	690.314	887
4351835.345	1856657.788	4264068.418	4550339.072	8480497.301	724.446	889
4349827.233	1856664.950	4265968.289	4552982.056	8481301.568	635.942	890
4347462.259	1858223.302	4267684.450	4555294.874	8483671.276	633.168	891
4346396.524	1861295.804	4267588.253	4555060.101	8486914.200	737.608	892
4342961.060	1863534.346	4270099.835	4558440.220	8490333.308	743.383	893
4345242.088	1857065.004	4270342.109	4558941.059	8483490.540	573.814	894
4338936.379	1867783.953	4272302.274	4561417.637	8495831.658	732.189	895
4339666.020	1864697.159	4272795.606	4562157.500	8492709.366	658.234	896
4341190.036	1856583.250	4275082.656	4565077.679	8484659.893	870.528	899
4339698.445	1853394.688	4277855.177	4568901.963	8482326.858	799.825	900
4339604.460	1859934.807	4275376.635	4565377.692	8488365.264	966.042	902
4335919.650	1868132.223	4275964.547	4565895.007	8497350.796	1251.352	904
4356269.949	1847441.720	4263835.405	4549893.580	8470280.206	918.182	915
4345760.274	1842611.448	4276332.824	4566916.963	8470024.075	775.176	919
4346827.697	1851019.319	4271727.490	4560603.452	8477314.483	830.057	920
4346612.740	1846256.484	4273792.644	4563537.224	8473029.354	696.296	921
4349971.065	1846638.987	4270102.566	4558632.252	8472045.159	608.610	922
4347973.304	1854023.309	4269161.401	4557194.913	8479615.115	753.969	923
4352313.832	1853154.152	4264956.089	4551637.014	8477092.124	629.775	924
4360947.530	1850524.645	4257325.765	4541366.004	8471248.384	631.561	928
4367500.975	1846899.054	4253099.014	4535165.303	8465320.926	1223.878	934
4363714.613	1842509.962	4258624.633	4542762.629	8462797.882	1075.293	951
4360607.641	1842348.287	4261686.341	4546988.210	8463883.450	962.870	952
4358831.772	1846377.390	4261181.678	4546633.219	8468283.572	575.813	955
4352563.085	1843331.247	4269024.670	4557119.203	8467980.588	693.463	960
4352861.111	1838365.360	4270931.446	4559673.415	8463306.192	748.575	963
4349864.757	1841813.168	4272737.404	4561937.026	8467661.414	916.230	967
4346556.508	1860037.522	4267804.441	4555457.672	8485695.756	625.522	1281
4354252.575	1844325.480	4266975.626	4554294.737	8468221.756	753.491	1354
4358662.397	1855466.412	4257446.849	4541544.825	8476690.354	586.833	1358
4349306.850	1857258.304	4266217.123	4553328.754	8482052.739	621.415	1701
4346707.918	1859304.216	4267905.769	4555635.214	8484962.617	583.313	2701
4342939.922	1865518.791	4269392.093	4557399.129	8492162.646	831.833	8145
4369342.345	1842503.198	4252928.569	4535077.390	8460555.312	1099.759	42201
4353653.171	1839527.663	4269552.566	4557853.764	8464057.529	695.052	42215
4367275.402	1844599.829	4253934.270	4536536.163	8463299.429	965.857	42218
4361942.343	1843793.313	4259834.641	4544408.457	8464679.438	1047.451	42230
4364825.133	1845022.412	4255989.740	4539455.622	8464659.783	791.856	42231
4351413.457	1840644.804	4271342.855	4560261.974	8465972.613	695.687	42240
4363015.642	1845970.716	4257357.700	4541330.863	8466248.716	747.436	42243
4353520.380	1842656.032	4268301.358	4556173.747	8466980.477	664.355	42249
4345780.812	1840250.765	4277387.865	4568315.811	8467850.209	819.702	42253
4348018.949	1840949.141	4274940.240	4564936.887	8467602.029	894.307	42254
4350171.691	1843261.069	4271645.535	4560552.855	8468867.247	807.918	42262
4356498.370	1848240.655	4263218.813	4549082.846	8470922.293	890.811	42284
4348667.478	1841295.867	4274015.559	4563759.949	8467661.943	812.926	42426
4356430.634	1845763.386	4264193.002	4550507.477	8468675.696	783.141	42435
4348678.861	1842852.968	4273168.322	4562709.988	8469085.413	699.232	42438
4347030.960	1842458.991	4274935.535	4565139.882	8469378.537	654.401	42443
4354957.966	1849459.674	4264022.869	4550302.375	8472652.057	733.818	43007
4351031.190	1850836.473	4267177.561	4554691.775	8475475.053	577.675	43020
4350765.339	1853485.582	4266352.897	4553537.568	8478011.500	610.129	43028
4350491.908	1857968.645	4264829.658	4551381.004	8482233.849	702.062	43047
4354602.442	1860178.544	4260135.084	4544780.586	8482628.989	991.913	43050
4361318.091	1865153.325	4250875.931	4532455.422	8484523.822	814.569	43052
4355524.201	1865055.408	4256863.088	4540487.063	8486736.621	846.664	43062
4348840.517	1848377.269	4270445.541	4559119.087	8474089.209	572.444	43087
4345456.967	1849456.843	4273707.604	4563332.040	8476425.368	778.347	43092
4343674.079	1851846.393	4274371.590	4564284.958	8479325.994	705.404	43102
4342207.589	1853361.502	4275176.778	4565380.766	8481298.847	690.272	43108
4344667.833	1854556.893	4272119.684	4561281.050	8481417.801	651.050	43109
4347621.607	1855382.667	4268895.732	4556852.034	8481001.952	730.569	43110
4340749.387	1854227.882	4276400.125	4566954.092	8482673.562	774.899	43112
4340027.803	1858012.578	4275743.845	4565901.943	8486433.316	941.744	43124
4343921.501	1862475.241	4269514.290	4557697.337	8488979.765	693.519	43131
4338583.477	1861983.826	4275417.076	4565490.090	8490650.690	896.840	43133
4342138.577	1860210.526	4272144.034	4561348.775	8487610.046	591.706	43140
